category,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2020 - 2021 (%) ,2000 - 2021 (%/year) 
Latin America,851.8201909,876.764569,893.408792,923.5123532,970.5609292,994.7485005,1060.096621,1118.202111,1161.66102,1164.000098,1203.89348,1213.630902,1221.822384,1246.097838,1302.96448,1343.813324,1385.86464,1423.335648,1456.039302,1424.086219,1522.332931,1584.248857,1638.526068,1681.164968,1688.102322,1679.918872,1648.465814,1630.248797,1580.343534,1566.404803,1380.148196,1459.015035,5.714374678,0.919442587
Argentina,93.45346145,99.11433289,101.0933022,105.3457076,107.9728126,108.8263334,118.8983213,121.4134612,127.051088,128.4796037,126.6782331,120.4482263,113.9342273,124.3021803,138.617375,141.5585635,149.9503663,158.7604858,164.2441844,152.5514913,162.828987,170.7580398,172.8256124,177.6661524,174.0955093,180.227911,179.0727295,174.8005884,171.4047608,163.6287016,149.4724123,155.0654782,3.741871743,0.967494035
Brazil,194.1000323,199.3689638,204.0682367,211.4665545,219.3405854,236.1034696,254.6425458,271.8132947,279.4506401,289.4980381,300.2839359,306.7977474,304.9384877,300.2503847,317.2483217,320.7853958,324.7943214,339.8086155,358.2965696,335.0612766,379.3618815,398.5731915,431.7379661,465.2668879,491.1073531,466.7491326,432.9490636,441.3715045,416.0594008,417.8074164,395.8630503,450.1391998,13.71084001,1.946455386
Chile,30.95434962,29.46536129,30.60702061,32.40255549,35.62992975,38.78970413,44.73884624,51.94181017,53.03606647,56.68264837,52.74333898,50.51074369,51.40212193,52.74160609,57.53383875,58.3314184,60.09058541,65.76495631,68.33501635,65.7748224,70.25045917,76.30633002,78.72288687,82.61391311,76.6938983,81.49542814,86.11743822,86.93676026,86.81680366,92.00592518,85.77309785,90.53059539,5.546608038,2.605998335
Colombia,45.96684242,47.60606777,49.32847588,51.6017602,51.57124811,54.09916978,53.78365392,58.72577175,59.58248232,51.90342815,54.5490264,54.89006409,52.84137397,52.08411919,52.25264873,53.2158217,53.04965075,53.88815736,54.52734576,57.22151498,58.98166756,63.72452865,63.58053258,71.330114,73.10548081,74.36241653,78.36664939,70.68535418,74.12075254,81.16690946,73.19351274,71.26952771,-2.628627809,1.281325185
Mexico,264.6537022,284.0446973,286.2226708,296.2725238,320.942131,303.9400234,317.3540498,330.2211919,352.6181185,344.6032636,368.9691268,370.6976564,376.945952,397.2480728,404.3885996,419.6630512,436.9598331,439.7943781,436.4111843,432.0148871,445.6886582,464.2602479,466.9567699,458.4531449,443.5904458,451.2800472,457.2779574,456.3071316,434.1708826,428.567284,364.4278782,376.9700542,3.441607184,0.102208288
Asia,4828.92984,5057.654109,5238.615177,5514.274144,5790.852172,6141.620115,6254.897732,6395.621515,6435.01156,6529.293564,6818.79476,7024.328119,7404.754025,8095.431433,8968.018774,9692.517578,10368.10729,11052.52954,11286.74626,11879.3624,12763.80901,13692.21147,14189.88897,14670.53302,14853.88623,14881.48153,14936.03302,15376.00548,15802.53614,16010.03399,15831.74699,16612.1617,4.929428921,4.331431958
China,2255.401648,2370.192657,2461.993681,2631.217719,2756.533536,2944.460453,2938.570423,2967.516211,3084.766355,2995.565118,3140.396637,3274.781216,3534.183188,4108.48178,4835.693258,5470.542333,6052.175148,6513.588705,6707.163893,7218.123888,7798.204103,8488.328353,8752.577391,9167.572297,9155.3536,9117.644628,9100.39121,9284.075191,9534.1154,9662.492405,9785.973402,10397.89074,6.25300431,5.866860824
India,551.2816994,593.4722997,620.5360396,648.8725356,690.3273712,738.6902498,764.980346,803.7853894,813.6524426,866.554172,903.4701388,918.5700585,960.7022329,990.1744258,1040.487708,1085.244506,1155.57277,1256.927195,1337.741463,1471.877408,1570.332755,1662.114693,1809.919566,1859.29392,2024.336756,2034.555495,2058.672668,2187.74361,2296.695679,2294.57774,2141.28514,2250.630631,5.10653576,4.442133398
Indonesia,144.8653768,157.2799073,164.9741466,179.4331999,190.1777304,212.1885532,230.1338501,249.7094962,251.7631978,270.7398887,272.207648,290.5012507,296.7496456,325.1826069,331.6638175,335.3606114,353.7153532,371.5003897,365.1926283,382.427451,410.4418234,460.6317444,467.8910054,428.4042765,463.6978786,469.3678359,459.8713172,491.2327659,549.647358,597.1202779,519.002522,536.9189755,3.452093734,3.287560575
Japan,1056.189524,1063.25496,1070.735426,1063.783566,1115.209093,1124.461537,1136.001196,1126.378484,1089.997259,1125.832301,1140.878139,1126.844723,1167.605215,1179.063829,1176.909177,1171.446509,1145.055719,1177.640404,1115.110721,1064.504821,1114.022871,1164.3713,1203.998279,1216.981779,1172.25499,1137.580845,1126.068482,1111.883327,1074.462665,1040.987011,1005.629014,1013.673607,0.799956332,-0.561357974
Malaysia,50.73805979,61.25730542,64.38976853,70.17734015,75.33374787,82.46220478,92.92934989,100.1575673,100.2828968,108.6162505,117.9948137,123.6005141,129.851063,135.8937645,149.4419542,158.7611353,165.6839926,184.3492954,194.9895057,175.2880442,193.7479645,199.3600377,202.5081175,221.3394545,228.3268432,228.2349273,227.5047194,243.1740765,246.1376686,255.5463801,246.7608172,254.0073325,2.936655569,3.718529132
South Korea,243.499051,267.5740984,290.8621682,317.4004745,342.4792149,371.8935257,395.5176706,418.417755,361.1002026,394.9476984,446.5415627,464.1056867,461.8548135,464.8651606,487.6973316,492.7579385,495.8757547,517.0470762,530.3407876,542.3099621,593.8916329,625.6230438,630.8711314,628.1898658,624.3160143,638.459848,655.9286846,665.6169007,667.5728114,651.3757194,596.5310869,613.5314809,2.849875626,1.524354378
Taiwan,113.05008,122.4705821,130.4962845,139.8510828,148.0003253,156.5175926,164.4845211,177.7640319,186.6836299,194.5103272,212.9456305,220.2147064,228.7790235,240.6862086,249.5419122,256.627659,264.4292841,269.9357081,257.3233581,243.6502679,261.1023072,267.2832805,262.9412638,265.2522563,270.4553262,271.0533726,275.2752058,282.9565295,279.4124692,268.2005572,261.921917,266.2602729,1.656354673,1.069668206
